,Model,Scenario,Region,Year,CAPCOST,OMCOST,FUELCOST,CAPCOST_MWh,OMCOST_MWh,FUELCOST_MWh,CAPCOST_p,OMCOST_p,FUELCOST_p,Variable
64,CD_Links_SSP2_v2,NPi_v3,OECD90 + EU,2060,228419.81595147,15060.733996491299,801932.760599035,228419.81595147,15060.733996491299,801932.760599035,21.8497137589,1.4406487696999999,76.7096374715,Fossils
65,CD_Links_SSP2_v2,NPi_v3,OECD90 + EU,2070,292384.937081824,19225.6674062186,1076281.01884238,292384.937081824,19225.6674062186,1076281.01884238,21.0668421199,1.3852427006999999,77.5479151794,Fossils
66,CD_Links_SSP2_v2,NPi_v3,OECD90 + EU,2080,321120.911679309,20075.2814211935,1059049.87990065,321120.911679309,20075.2814211935,1059049.87990065,22.9331770944,1.4336966772,75.6331262284,Fossils
67,CD_Links_SSP2_v2,NPi_v3,OECD90 + EU,2090,246641.563998229,15913.5074651797,873291.0880730379,246641.563998229,15913.5074651797,873291.0880730379,21.714345902199998,1.4010266559,76.8846274419,Fossils
68,CD_Links_SSP2_v2,NPi_v3,OECD90 + EU,2100,271784.852382354,18567.5846184493,1301930.94889874,271784.852382354,18567.5846184493,1301930.94889874,17.0688744723,1.1660979938,81.76502753390001,Fossils
69,CD_Links_SSP2_v2,NPi_v3,OECD90 + EU,2110,178056.622294805,12162.4151948744,759577.37395519,178056.622294805,12162.4151948744,759577.37395519,18.7468198605,1.2805286531,79.9726514864,Fossils
70,CD_Links_SSP2_v2,NPi_v3,OECD90 + EU,2020,480512.600160494,17512.508257898,0.0,480512.600160494,17512.508257898,0.0,96.48360936790002,3.5163906321,0.0,Renewables
71,CD_Links_SSP2_v2,NPi_v3,OECD90 + EU,2030,170464.259257936,8771.9927476029,0.0,170464.259257936,8771.9927476029,0.0,95.1059048326,4.8940951674,0.0,Renewables
72,CD_Links_SSP2_v2,NPi_v3,OECD90 + EU,2040,312538.53082493803,14201.766647633702,324.3542814804,312538.53082493803,14201.766647633702,324.3542814804,95.5586392931,4.3421894025,0.0991713044,Renewables
73,CD_Links_SSP2_v2,NPi_v3,OECD90 + EU,2050,409937.350731977,20186.5565329053,482.6382784604,409937.350731977,20186.5565329053,482.6382784604,95.1999812763,4.6879353650999995,0.11208335859999999,Renewables
74,CD_Links_SSP2_v2,NPi_v3,OECD90 + EU,2060,655708.267437834,27557.063835607598,234.6132379082,655708.267437834,27557.063835607598,234.6132379082,95.9339167038,4.0317580209,0.0343252753,Renewables
75,CD_Links_SSP2_v2,NPi_v3,OECD90 + EU,2070,793285.796360195,27833.627934354703,493.34365205669997,793285.796360195,27833.627934354703,493.34365205669997,96.55227222709999,3.3876820103,0.0600457626,Renewables
76,CD_Links_SSP2_v2,NPi_v3,OECD90 + EU,2080,699156.120900332,24421.9602133438,381.0459656112,699156.120900332,24421.9602133438,381.0459656112,96.5739770035,3.3733893669,0.0526336296,Renewables
77,CD_Links_SSP2_v2,NPi_v3,OECD90 + EU,2090,997015.731253703,28153.1603311234,346.74709405,997015.731253703,28153.1603311234,346.74709405,97.2209192771,2.7452687477,0.0338119753,Renewables
78,CD_Links_SSP2_v2,NPi_v3,OECD90 + EU,2100,696359.221255927,22303.2192451684,2624.9909145738,696359.221255927,22303.2192451684,2624.9909145738,96.54392838780001,3.0921402861000002,0.36393132619999996,Renewables
79,CD_Links_SSP2_v2,NPi_v3,OECD90 + EU,2110,486510.068054571,15938.6902358648,2493.1880780869,486510.068054571,15938.6902358648,2493.1880780869,96.3497034765,3.1565391527999997,0.4937573707,Renewables
80,CD_Links_SSP2_v2,NPi_v3,Central Asia,2020,47281.199381733204,3145.1123077614,88388.5512635098,47281.199381733204,3145.1123077614,88388.5512635098,34.060617412199996,2.2656884434999998,63.6736941443,Fossils
81,CD_Links_SSP2_v2,NPi_v3,Central Asia,2030,32832.8032842563,2278.0979815377,61641.4721100233,32832.8032842563,2278.0979815377,61641.4721100233,33.934881531799995,2.3545654768,63.7105529914,Fossils
82,CD_Links_SSP2_v2,NPi_v3,Central Asia,2040,36286.113138724104,2806.6492839659004,116272.490591955,36286.113138724104,2806.6492839659004,116272.490591955,23.3553593449,1.806484545,74.8381561101,Fossils
83,CD_Links_SSP2_v2,NPi_v3,Central Asia,2050,56148.6965232874,3660.6448942244,118995.90922044401,56148.6965232874,3660.6448942244,118995.90922044401,31.4021519631,2.0472804245,66.5505676125,Fossils
84,CD_Links_SSP2_v2,NPi_v3,Central Asia,2060,47127.7267343202,3174.1711334731,150904.29112665198,47127.7267343202,3174.1711334731,150904.29112665198,23.4226029377,1.5775713209,74.9998257414,Fossils
85,CD_Links_SSP2_v2,NPi_v3,Central Asia,2070,80636.68017619441,5959.0756944432,343862.80740671104,80636.68017619441,5959.0756944432,343862.80740671104,18.7327392356,1.3843552441,79.8829055203,Fossils
86,CD_Links_SSP2_v2,NPi_v3,Central Asia,2080,68837.803786182,4329.7827738213,188025.3457304,68837.803786182,4329.7827738213,188025.3457304,26.355155624800002,1.6576952278000001,71.9871491474,Fossils
87,CD_Links_SSP2_v2,NPi_v3,Central Asia,2090,51347.3946025697,3226.4695421348997,107125.263008642,51347.3946025697,3226.4695421348997,107125.263008642,31.7548990564,1.9953537158,66.2497472278,Fossils
88,CD_Links_SSP2_v2,NPi_v3,Central Asia,2100,60917.8531403332,4379.8043409701,374294.01907348796,60917.8531403332,4379.8043409701,374294.01907348796,13.857826794600001,0.9963346839,85.1458385215,Fossils
89,CD_Links_SSP2_v2,NPi_v3,Central Asia,2110,30089.9779719083,1890.3486282666001,75468.5942540838,30089.9779719083,1890.3486282666001,75468.5942540838,28.003983411500002,1.7592997800999999,70.2367168084,Fossils
90,CD_Links_SSP2_v2,NPi_v3,Central Asia,2020,55216.6022129217,1836.1035436903,533.2425176730001,55216.6022129217,1836.1035436903,533.2425176730001,95.88554824159999,3.188457599,0.9259941594,Renewables
91,CD_Links_SSP2_v2,NPi_v3,Central Asia,2030,25468.5338973525,1452.3083255052,0.0,25468.5338973525,1452.3083255052,0.0,94.6052641538,5.3947358462,0.0,Renewables
92,CD_Links_SSP2_v2,NPi_v3,Central Asia,2040,48584.3058407373,2344.4534287678,0.0,48584.3058407373,2344.4534287678,0.0,95.3966021117,4.6033978883,0.0,Renewables
93,CD_Links_SSP2_v2,NPi_v3,Central Asia,2050,53430.7549390175,2902.1450223381,0.0,53430.7549390175,2902.1450223381,0.0,94.8482236414,5.1517763586,0.0,Renewables
94,CD_Links_SSP2_v2,NPi_v3,Central Asia,2060,69661.2976112341,3661.6104125988,0.0,69661.2976112341,3661.6104125988,0.0,95.00618495459999,4.9938150454,0.0,Renewables
95,CD_Links_SSP2_v2,NPi_v3,Central Asia,2070,106547.854030986,5400.358200913301,0.0,106547.854030986,5400.358200913301,0.0,95.1760210429,4.8239789571,0.0,Renewables
96,CD_Links_SSP2_v2,NPi_v3,Central Asia,2080,112616.638295336,4776.986660213,0.0,112616.638295336,4776.986660213,0.0,95.93079550780001,4.0692044922,0.0,Renewables
97,CD_Links_SSP2_v2,NPi_v3,Central Asia,2090,155579.989865099,6764.624882288101,3688.4761158705,155579.989865099,6764.624882288101,3688.4761158705,93.70420622549999,4.0742630562999995,2.2215307182,Renewables
98,CD_Links_SSP2_v2,NPi_v3,Central Asia,2100,135302.538547582,5540.2247733013,7620.449576559799,135302.538547582,5540.2247733013,7620.449576559799,91.1353970502,3.7317155309,5.1328874189,Renewables
99,CD_Links_SSP2_v2,NPi_v3,Central Asia,2110,74723.3138192939,3598.8811196658003,5313.123293113,74723.3138192939,3598.8811196658003,5313.123293113,89.34420935899999,4.3030638201,6.3527268209,Renewables
100,CD_Links_SSP2_v2,NPi_v3,Asia (No Japan),2020,951887.352631445,58297.36901162231,696778.137192355,951887.352631445,58297.36901162231,696778.137192355,55.7649715519,3.4152687452999997,40.8197597028,Aggregate
101,CD_Links_SSP2_v2,NPi_v3,Asia (No Japan),2030,572214.080179271,34078.2015041412,544309.530246172,572214.080179271,34078.2015041412,544309.530246172,49.731720761000005,2.9617719311,47.306507308,Aggregate
102,CD_Links_SSP2_v2,NPi_v3,Asia (No Japan),2040,651157.960786446,36006.277976506804,741673.827322243,651157.960786446,36006.277976506804,741673.827322243,45.5725513088,2.5199691155,51.90747957560001,Aggregate
103,CD_Links_SSP2_v2,NPi_v3,Asia (No Japan),2050,1159824.64208457,63244.42320457519,1203813.52901868,1159824.64208457,63244.42320457519,1203813.52901868,47.7907190403,2.6059943465,49.6032866131,Aggregate
104,CD_Links_SSP2_v2,NPi_v3,Asia (No Japan),2060,1492755.96176164,73608.22938316519,1299624.21539778,1492755.96176164,73608.22938316519,1299624.21539778,52.085205870100005,2.5683366065,45.3464575234,Aggregate
105,CD_Links_SSP2_v2,NPi_v3,Asia (No Japan),2070,1575170.39558556,74236.34664222361,831752.363833995,1575170.39558556,74236.34664222361,831752.363833995,63.4852634697,2.9920026677,33.5227338627,Aggregate
106,CD_Links_SSP2_v2,NPi_v3,Asia (No Japan),2080,2311854.7092982004,113496.70562339,1758815.58234954,2311854.7092982004,113496.70562339,1758815.58234954,55.2524483561,2.7125281017000002,42.0350235422,Aggregate
107,CD_Links_SSP2_v2,NPi_v3,Asia (No Japan),2090,2070606.18603808,93695.6916205742,2041931.98923573,2070606.18603808,93695.6916205742,2041931.98923573,49.2270817925,2.22754356,48.5453746475,Aggregate
108,CD_Links_SSP2_v2,NPi_v3,Asia (No Japan),2100,1723066.89933802,66879.90917028059,1606663.20889247,1723066.89933802,66879.90917028059,1606663.20889247,50.729017771,1.9690193700999998,47.301962858900005,Aggregate
109,CD_Links_SSP2_v2,NPi_v3,Asia (No Japan),2110,1096884.4982411999,53755.08456935151,1140964.57972186,1096884.4982411999,53755.08456935151,1140964.57972186,47.8653563375,2.3457403965,49.788903266000005,Aggregate
110,CD_Links_SSP2_v2,NPi_v3,Latin America,2020,57469.5211209922,3630.1378403627,56969.2342318601,57469.5211209922,3630.1378403627,56969.2342318601,48.6745658121,3.0745929281,48.2508412598,Aggregate
111,CD_Links_SSP2_v2,NPi_v3,Latin America,2030,99087.61320884801,6184.3199313846,86240.8805140288,99087.61320884801,6184.3199313846,86240.8805140288,51.7394169707,3.2291938139,45.0313892154,Aggregate
112,CD_Links_SSP2_v2,NPi_v3,Latin America,2040,112562.100106001,6632.687419379301,74805.7175729688,112562.100106001,6632.687419379301,74805.7175729688,58.0215500207,3.4189021394999997,38.5595478399,Aggregate
113,CD_Links_SSP2_v2,NPi_v3,Latin America,2050,194002.163600688,10411.3757956411,169108.28138953,194002.163600688,10411.3757956411,169108.28138953,51.9386426187,2.7873541025999997,45.2740032788,Aggregate
114,CD_Links_SSP2_v2,NPi_v3,Latin America,2060,359420.492390533,17222.696879780102,394192.844816597,359420.492390533,17222.696879780102,394192.844816597,46.6273599698,2.2342879831999998,51.138352047,Aggregate
115,CD_Links_SSP2_v2,NPi_v3,Latin America,2070,473644.582327895,15918.350821966298,133383.587783436,473644.582327895,15918.350821966298,133383.587783436,76.0329444682,2.5553318442,21.4117236875,Aggregate
116,CD_Links_SSP2_v2,NPi_v3,Latin America,2080,404191.00936433795,15364.0322690175,429838.362668215,404191.00936433795,15364.0322690175,429838.362668215,47.5858427105,1.8088240609000001,50.605333228599996,Aggregate
117,CD_Links_SSP2_v2,NPi_v3,Latin America,2090,544862.133264603,21826.2105324273,711318.5515255671,544862.133264603,21826.2105324273,711318.5515255671,42.6337397129,1.7078319853,55.6584283018,Aggregate
118,CD_Links_SSP2_v2,NPi_v3,Latin America,2100,470403.922158458,16154.9732065354,275524.217485558,470403.922158458,16154.9732065354,275524.217485558,61.7260655992,2.1198440084,36.1540903924,Aggregate
119,CD_Links_SSP2_v2,NPi_v3,Latin America,2110,456288.10975550103,22295.5552450769,186490.149283602,456288.10975550103,22295.5552450769,186490.149283602,68.6071380282,3.3523429680000003,28.0405190038,Aggregate
120,CD_Links_SSP2_v2,NPi_v3,Middle East + Africa,2020,104649.645135951,6474.339007503,132964.594898736,104649.645135951,6474.339007503,132964.594898736,42.873634459499996,2.6524547084,54.4739108321,Aggregate
121,CD_Links_SSP2_v2,NPi_v3,Middle East + Africa,2030,123191.895609261,7731.415425894201,194589.24729916398,123191.895609261,7731.415425894201,194589.24729916398,37.8455123943,2.3751511971,59.7793364087,Aggregate
122,CD_Links_SSP2_v2,NPi_v3,Middle East + Africa,2040,168580.855812041,9338.2948610813,231364.147522095,168580.855812041,9338.2948610813,231364.147522095,41.1892829625,2.2816212883,56.5290957492,Aggregate
123,CD_Links_SSP2_v2,NPi_v3,Middle East + Africa,2050,388162.240950074,21317.863877770502,440184.03002060397,388162.240950074,21317.863877770502,440184.03002060397,45.6841974411,2.5089753708,51.8068271881,Aggregate
124,CD_Links_SSP2_v2,NPi_v3,Middle East + Africa,2060,609490.435713135,32489.0268785047,891621.562868106,609490.435713135,32489.0268785047,891621.562868106,39.742437935,2.118479731,58.139082334099996,Aggregate
125,CD_Links_SSP2_v2,NPi_v3,Middle East + Africa,2070,871858.073738526,40073.3146024757,900589.8065929441,871858.073738526,40073.3146024757,900589.8065929441,48.1019519206,2.2109156413999997,49.687132438,Aggregate
126,CD_Links_SSP2_v2,NPi_v3,Middle East + Africa,2080,1294335.15816626,61192.33902145139,1293266.86144834,1294335.15816626,61192.33902145139,1293266.86144834,48.8650677598,2.3101959132,48.824736327,Aggregate
127,CD_Links_SSP2_v2,NPi_v3,Middle East + Africa,2090,1981287.33234998,95759.5959572249,1772647.44503796,1981287.33234998,95759.5959572249,1772647.44503796,51.4660941936,2.4874596959999997,46.0464461104,Aggregate
128,CD_Links_SSP2_v2,NPi_v3,Middle East + Africa,2100,2096985.71358548,90351.0097520977,1352042.48211714,2096985.71358548,90351.0097520977,1352042.48211714,59.2472745038,2.5527360734,38.1999894228,Aggregate
