,Model,Scenario,Region,Year,CAPCOST,OMCOST,FUELCOST,CAPCOST_MWh,OMCOST_MWh,FUELCOST_MWh,CAPCOST_p,OMCOST_p,FUELCOST_p,Variable
165,CD_Links_SSP2_v2,NPi2020_400_v3,World,2030,3719082.87014045,169097.07660792,2928434.6785776,3719082.87014045,169097.07660792,2928434.6785776,54.559089439,2.4806606491,42.960249911999995,Aggregate
166,CD_Links_SSP2_v2,NPi2020_400_v3,World,2040,4253010.07697395,177851.724378402,2501917.46395478,4253010.07697395,177851.724378402,2501917.46395478,61.3463939095,2.56537411,36.088231980399996,Aggregate
167,CD_Links_SSP2_v2,NPi2020_400_v3,World,2050,5172040.34693004,182843.14427931,6374239.45800927,5172040.34693004,182843.14427931,6374239.45800927,44.095712606300005,1.5588816408000001,54.3454057529,Aggregate
168,CD_Links_SSP2_v2,NPi2020_400_v3,World,2060,6646912.23364831,235311.08649611898,1858307.65140383,6646912.23364831,235311.08649611898,1858307.65140383,76.0470073876,2.6921829722000004,21.2608096402,Aggregate
169,CD_Links_SSP2_v2,NPi2020_400_v3,World,2070,9875942.36351795,331763.765833836,535727.738926036,9875942.36351795,331763.765833836,535727.738926036,91.9253795817,3.0880607625,4.9865596558,Aggregate
170,CD_Links_SSP2_v2,NPi2020_400_v3,World,2080,10499322.5785475,351207.084034276,1749977.41226794,10499322.5785475,351207.084034276,1749977.41226794,83.3246036543,2.7872456398,13.8881507059,Aggregate
171,CD_Links_SSP2_v2,NPi2020_400_v3,World,2090,14771611.858859198,498176.874410182,558949.333185814,14771611.858859198,498176.874410182,558949.333185814,93.3214751349,3.1472936901999997,3.5312311748000003,Aggregate
172,CD_Links_SSP2_v2,NPi2020_400_v3,World,2100,14766261.4520035,487577.40710296604,594279.6270345029,14766261.4520035,487577.40710296604,594279.6270345029,93.17359322440001,3.0765633632,3.7498434124,Aggregate
173,CD_Links_SSP2_v2,NPi2020_400_v3,World,2110,11619145.676743401,385904.07694397797,60737.062543614804,11619145.676743401,385904.07694397797,60737.062543614804,96.2982841791,3.1983332941000002,0.5033825267,Aggregate
95,CD_Links_SSP2_v2,NPi2020_1000_v3,Asia (No Japan),2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aggregate
96,CD_Links_SSP2_v2,NPi2020_1000_v3,Asia (No Japan),2030,1129876.80908802,55898.8670452921,690540.078302395,1129876.80908802,55898.8670452921,690540.078302395,60.217839477,2.9791823105,36.8029782125,Aggregate
97,CD_Links_SSP2_v2,NPi2020_1000_v3,Asia (No Japan),2040,1354308.29689376,45648.6447596441,941933.1507475341,1354308.29689376,45648.6447596441,941933.1507475341,57.829712047,1.9492223357,40.2210656172,Aggregate
98,CD_Links_SSP2_v2,NPi2020_1000_v3,Asia (No Japan),2050,1609429.48419697,51338.2426823859,467946.11008429795,1609429.48419697,51338.2426823859,467946.11008429795,75.6057228666,2.4117023994,21.982574734,Aggregate
99,CD_Links_SSP2_v2,NPi2020_1000_v3,Asia (No Japan),2060,1904183.58780617,60426.6537519539,354993.578135224,1904183.58780617,60426.6537519539,354993.578135224,82.0908972317,2.6050420007,15.3040607677,Aggregate
100,CD_Links_SSP2_v2,NPi2020_1000_v3,Asia (No Japan),2070,1720236.62473808,49703.4700643812,288819.382661657,1720236.62473808,49703.4700643812,288819.382661657,83.55694988020001,2.4142436554,14.0288064644,Aggregate
101,CD_Links_SSP2_v2,NPi2020_1000_v3,Asia (No Japan),2080,3381141.87017309,100979.56436512199,61218.2932636616,3381141.87017309,100979.56436512199,61218.2932636616,95.4224581867,2.8498414525,1.7277003609000001,Aggregate
