Model,Scenario,Region,Unit,Year,Value,Enduse,EnergySource
REMIND-MAgPIE 1.7-3.0,NPi_v3,R5MAF,EJ/yr,2020,5.0019,Residential and Commercial,Electricity
REMIND-MAgPIE 1.7-3.0,NPi_v3,R5MAF,EJ/yr,2020,3.8427,Residential and Commercial,Gases
REMIND-MAgPIE 1.7-3.0,NPi_v3,R5MAF,EJ/yr,2020,0.2257,Residential and Commercial,Heat
REMIND-MAgPIE 1.7-3.0,NPi_v3,R5MAF,EJ/yr,2020,0.0,Residential and Commercial,Hydrogen
REMIND-MAgPIE 1.7-3.0,NPi_v3,R5MAF,EJ/yr,2020,2.4589,Residential and Commercial,Liquids
REMIND-MAgPIE 1.7-3.0,NPi_v3,R5MAF,EJ/yr,2020,13.6667,Residential and Commercial,Solids
REMIND-MAgPIE 1.7-3.0,NPi_v3,R5MAF,EJ/yr,2020,0.14400000000000002,Transportation,Electricity
REMIND-MAgPIE 1.7-3.0,NPi_v3,R5MAF,EJ/yr,2020,0.0009,Transportation,Gases
REMIND-MAgPIE 1.7-3.0,NPi_v3,R5MAF,EJ/yr,2020,0.0,Transportation,Hydrogen
REMIND-MAgPIE 1.7-3.0,NPi_v3,R5MAF,EJ/yr,2020,16.5253,Transportation,Liquids
REMIND-MAgPIE 1.7-3.0,NPi_v3,R5LAM,EJ/yr,2020,2.7142,Industry,Electricity
REMIND-MAgPIE 1.7-3.0,NPi_v3,R5LAM,EJ/yr,2020,4.0313,Industry,Gases
REMIND-MAgPIE 1.7-3.0,NPi_v3,R5LAM,EJ/yr,2020,0.0015,Industry,Heat
REMIND-MAgPIE 1.7-3.0,NPi_v3,R5LAM,EJ/yr,2020,0.0267,Industry,Hydrogen
REMIND-MAgPIE 1.7-3.0,NPi_v3,R5LAM,EJ/yr,2020,4.5443,Industry,Liquids
REMIND-MAgPIE 1.7-3.0,NPi_v3,R5LAM,EJ/yr,2020,3.0772,Industry,Solids
REMIND-MAgPIE 1.7-3.0,NPi_v3,R5LAM,EJ/yr,2020,3.1155,Residential and Commercial,Electricity
REMIND-MAgPIE 1.7-3.0,NPi_v3,R5LAM,EJ/yr,2020,0.9713,Residential and Commercial,Gases
REMIND-MAgPIE 1.7-3.0,NPi_v3,R5LAM,EJ/yr,2020,0.0225,Residential and Commercial,Heat
REMIND-MAgPIE 1.7-3.0,NPi_v3,R5LAM,EJ/yr,2020,0.0,Residential and Commercial,Hydrogen
REMIND-MAgPIE 1.7-3.0,NPi_v3,R5LAM,EJ/yr,2020,1.2907,Residential and Commercial,Liquids
REMIND-MAgPIE 1.7-3.0,NPi_v3,R5LAM,EJ/yr,2020,1.3347,Residential and Commercial,Solids
REMIND-MAgPIE 1.7-3.0,NPi_v3,R5LAM,EJ/yr,2020,0.0251,Transportation,Electricity
REMIND-MAgPIE 1.7-3.0,NPi_v3,R5LAM,EJ/yr,2020,0.0,Transportation,Gases
REMIND-MAgPIE 1.7-3.0,NPi_v3,R5LAM,EJ/yr,2020,0.0,Transportation,Hydrogen
REMIND-MAgPIE 1.7-3.0,NPi_v3,R5LAM,EJ/yr,2020,12.1644,Transportation,Liquids
REMIND-MAgPIE 1.7-3.0,NPi_v3,R5REF,EJ/yr,2020,1.3901,Industry,Electricity
REMIND-MAgPIE 1.7-3.0,NPi_v3,R5REF,EJ/yr,2020,3.1201,Industry,Gases
REMIND-MAgPIE 1.7-3.0,NPi_v3,R5REF,EJ/yr,2020,2.1437,Industry,Heat
REMIND-MAgPIE 1.7-3.0,NPi_v3,R5REF,EJ/yr,2020,0.0175,Industry,Hydrogen
REMIND-MAgPIE 1.7-3.0,NPi_v3,R5REF,EJ/yr,2020,2.0972,Industry,Liquids
REMIND-MAgPIE 1.7-3.0,NPi_v3,R5REF,EJ/yr,2020,0.2229,Industry,Solids
REMIND-MAgPIE 1.7-3.0,NPi_v3,R5REF,EJ/yr,2020,1.8033,Residential and Commercial,Electricity
REMIND-MAgPIE 1.7-3.0,NPi_v3,R5REF,EJ/yr,2020,2.0531,Residential and Commercial,Gases
REMIND-MAgPIE 1.7-3.0,NPi_v3,R5REF,EJ/yr,2020,2.6461,Residential and Commercial,Heat
REMIND-MAgPIE 1.7-3.0,NPi_v3,R5REF,EJ/yr,2020,0.0,Residential and Commercial,Hydrogen
REMIND-MAgPIE 1.7-3.0,NPi_v3,R5REF,EJ/yr,2020,0.312,Residential and Commercial,Liquids
REMIND-MAgPIE 1.7-3.0,NPi_v3,R5REF,EJ/yr,2020,0.1986,Residential and Commercial,Solids
REMIND-MAgPIE 1.7-3.0,NPi_v3,R5REF,EJ/yr,2020,0.2705,Transportation,Electricity
REMIND-MAgPIE 1.7-3.0,NPi_v3,R5REF,EJ/yr,2020,0.0,Transportation,Gases
REMIND-MAgPIE 1.7-3.0,NPi_v3,R5REF,EJ/yr,2020,0.0,Transportation,Hydrogen
REMIND-MAgPIE 1.7-3.0,NPi_v3,R5REF,EJ/yr,2020,3.1438,Transportation,Liquids
REMIND-MAgPIE 1.7-3.0,NPi_v3,R5OECD90+EU,EJ/yr,2020,11.1681,Industry,Electricity
REMIND-MAgPIE 1.7-3.0,NPi_v3,R5OECD90+EU,EJ/yr,2020,14.76,Industry,Gases
REMIND-MAgPIE 1.7-3.0,NPi_v3,R5OECD90+EU,EJ/yr,2020,2.2769,Industry,Heat
REMIND-MAgPIE 1.7-3.0,NPi_v3,R5OECD90+EU,EJ/yr,2020,0.1575,Industry,Hydrogen
REMIND-MAgPIE 1.7-3.0,NPi_v3,R5OECD90+EU,EJ/yr,2020,16.6671,Industry,Liquids
REMIND-MAgPIE 1.7-3.0,NPi_v3,R5OECD90+EU,EJ/yr,2020,6.0686,Industry,Solids
REMIND-MAgPIE 1.7-3.0,NPi_v3,R5OECD90+EU,EJ/yr,2020,25.2162,Residential and Commercial,Electricity
REMIND-MAgPIE 1.7-3.0,NPi_v3,R5OECD90+EU,EJ/yr,2020,20.044,Residential and Commercial,Gases
REMIND-MAgPIE 1.7-3.0,NPi_v3,R5OECD90+EU,EJ/yr,2020,2.5157,Residential and Commercial,Heat
REMIND-MAgPIE 1.7-3.0,NPi_v3,R5OECD90+EU,EJ/yr,2020,0.0002,Residential and Commercial,Hydrogen
REMIND-MAgPIE 1.7-3.0,NPi_v3,R5OECD90+EU,EJ/yr,2020,4.7622,Residential and Commercial,Liquids
REMIND-MAgPIE 1.7-3.0,NPi_v3,R5OECD90+EU,EJ/yr,2020,3.7328,Residential and Commercial,Solids
REMIND-MAgPIE 1.7-3.0,NPi_v3,R5OECD90+EU,EJ/yr,2020,0.6366,Transportation,Electricity
REMIND-MAgPIE 1.7-3.0,NPi_v3,R5OECD90+EU,EJ/yr,2020,0.226,Transportation,Gases
REMIND-MAgPIE 1.7-3.0,NPi_v3,R5OECD90+EU,EJ/yr,2020,0.0,Transportation,Hydrogen
REMIND-MAgPIE 1.7-3.0,NPi_v3,R5OECD90+EU,EJ/yr,2020,51.6929,Transportation,Liquids
REMIND-MAgPIE 1.7-3.0,NPi_v3,World,EJ/yr,2030,51.9451,Industry,Electricity
REMIND-MAgPIE 1.7-3.0,NPi_v3,World,EJ/yr,2030,48.1433,Industry,Gases
REMIND-MAgPIE 1.7-3.0,NPi_v3,World,EJ/yr,2030,10.7175,Industry,Heat
